,AssoCode,Code,Continent,Country
0,CAF,ALG,Africa,Algeria
1,CAF,CIV,Africa,C̫te d'Ivoire
2,CAF,GHA,Africa,Ghana
3,CAF,NGA,Africa,Nigeria
4,CAF,CMR,Africa,Cameroon
5,AFC,JPN,Asia,Japan
6,AFC,KOR,Asia,South Korea
7,CONCACAF,HON,Central America,Honduras
8,CONCACAF,CRC,Central America,Costa Rica
9,UEFA,BEL,Europe,Belgium
10,UEFA,GER,Europe,Germany
11,UEFA,ESP,Europe,Spain
12,UEFA,FRA,Europe,France
13,UEFA,GRE,Europe,Greece
14,UEFA,ITA,Europe,Italy
15,CONCACAF,NED,Europe,Netherlands
16,UEFA,POR,Europe,Portugal
17,UEFA,SUI,Europe,Switzerland
18,UEFA,CRO,Europe,Croatia
19,UEFA,RUS,Europe,Russia
20,UEFA,BIH,Europe,Bosnia-Herzegovina
21,UEFA,ENG,Europe,England
22,AFC,IRN,Middle East,Iran
23,CONCACAF,MEX,North America,Mexico
24,CONCACAF,USA,North America,United States
25,AFC,AUS,Pacific,Australia
26,CONMEBOL,ARG,South America,Argentina
27,CONMEBOL,BRA,South America,Brazil
28,CONMEBOL,CHI,South America,Chile
29,CONMEBOL,URU,South America,Uruguay
30,CONMEBOL,COL,South America,Colombia
31,CONMEBOL,ECU,South America,Ecuador
